,precision,recall,fbeta
 Never-married,0.7804878048780488,0.3258655804480652,0.45977011494252873
 Married-civ-spouse,0.7264470443349754,0.7051703526598924,0.7156505914467698
 Divorced,0.81,0.34989200863930886,0.48868778280542985
 Married-spouse-absent,0.7647058823529411,0.38235294117647056,0.5098039215686274
 Separated,0.9166666666666666,0.3333333333333333,0.4888888888888889
 Married-AF-spouse,0.8333333333333334,0.5,0.625
 Widowed,0.8709677419354839,0.3176470588235294,0.46551724137931033
